Province_State,Date,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
Alabama,2020-01-22,0,0,0.0,0.0
Alabama,2020-01-23,0,0,0.0,0.0
Alabama,2020-01-24,0,0,0.0,0.0
Alabama,2020-01-25,0,0,0.0,0.0
Alabama,2020-01-26,0,0,0.0,0.0
Alabama,2020-01-27,0,0,0.0,0.0
Alabama,2020-01-28,0,0,0.0,0.0
Alabama,2020-01-29,0,0,0.0,0.0
Alabama,2020-01-30,0,0,0.0,0.0
Alabama,2020-01-31,0,0,0.0,0.0
Alabama,2020-02-01,0,0,0.0,0.0
Alabama,2020-02-02,0,0,0.0,0.0
Alabama,2020-02-03,0,0,0.0,0.0
Alabama,2020-02-04,0,0,0.0,0.0
Alabama,2020-02-05,0,0,0.0,0.0
Alabama,2020-02-06,0,0,0.0,0.0
Alabama,2020-02-07,0,0,0.0,0.0
Alabama,2020-02-08,0,0,0.0,0.0
Alabama,2020-02-09,0,0,0.0,0.0
Alabama,2020-02-10,0,0,0.0,0.0
Alabama,2020-02-11,0,0,0.0,0.0
Alabama,2020-02-12,0,0,0.0,0.0
Alabama,2020-02-13,0,0,0.0,0.0
Alabama,2020-02-14,0,0,0.0,0.0
Alabama,2020-02-15,0,0,0.0,0.0
Alabama,2020-02-16,0,0,0.0,0.0
Alabama,2020-02-17,0,0,0.0,0.0
Alabama,2020-02-18,0,0,0.0,0.0
Alabama,2020-02-19,0,0,0.0,0.0
Alabama,2020-02-20,0,0,0.0,0.0
Alabama,2020-02-21,0,0,0.0,0.0
Alabama,2020-02-22,0,0,0.0,0.0
Alabama,2020-02-23,0,0,0.0,0.0
Alabama,2020-02-24,0,0,0.0,0.0
Alabama,2020-02-25,0,0,0.0,0.0
Alabama,2020-02-26,0,0,0.0,0.0
Alabama,2020-02-27,0,0,0.0,0.0
Alabama,2020-02-28,0,0,0.0,0.0
Alabama,2020-02-29,0,0,0.0,0.0
Alabama,2020-03-01,0,0,0.0,0.0
Alabama,2020-03-02,0,0,0.0,0.0
Alabama,2020-03-03,0,0,0.0,0.0
Alabama,2020-03-04,0,0,0.0,0.0
Alabama,2020-03-05,0,0,0.0,0.0
Alabama,2020-03-06,0,0,0.0,0.0
Alabama,2020-03-07,0,0,0.0,0.0
Alabama,2020-03-08,0,0,0.0,0.0
Alabama,2020-03-09,0,0,0.0,0.0
Alabama,2020-03-10,0,0,0.0,0.0
Alabama,2020-03-11,3,0,3.0,0.0
Alabama,2020-03-12,4,0,1.0,0.0
Alabama,2020-03-13,8,0,4.0,0.0
Alabama,2020-03-14,15,0,7.0,0.0
Alabama,2020-03-15,28,0,13.0,0.0
Alabama,2020-03-16,36,0,8.0,0.0
Alabama,2020-03-17,51,0,15.0,0.0
Alabama,2020-03-18,61,0,10.0,0.0
Alabama,2020-03-19,88,0,27.0,0.0
Alabama,2020-03-20,115,0,27.0,0.0
Alabama,2020-03-21,149,0,34.0,0.0
Alabama,2020-03-22,180,0,31.0,0.0
Alabama,2020-03-23,224,0,44.0,0.0
Alabama,2020-03-24,298,0,74.0,0.0
Alabama,2020-03-25,472,1,174.0,1.0
Alabama,2020-03-26,574,1,102.0,0.0
Alabama,2020-03-27,684,4,110.0,3.0
Alabama,2020-03-28,801,4,117.0,0.0
Alabama,2020-03-29,880,10,79.0,6.0
Alabama,2020-03-30,1001,10,121.0,0.0
Alabama,2020-03-31,1063,23,62.0,13.0
Alabama,2020-04-01,1175,27,112.0,4.0
Alabama,2020-04-02,1371,32,196.0,5.0
Alabama,2020-04-03,1606,38,235.0,6.0
Alabama,2020-04-04,1727,44,121.0,6.0
Alabama,2020-04-05,1905,45,178.0,1.0
Alabama,2020-04-06,2079,49,174.0,4.0
Alabama,2020-04-07,2308,64,229.0,15.0
Alabama,2020-04-08,2614,66,306.0,2.0
Alabama,2020-04-09,2954,70,340.0,4.0
Alabama,2020-04-10,3112,80,158.0,10.0
Alabama,2020-04-11,3346,92,234.0,12.0
Alabama,2020-04-12,3667,93,321.0,1.0
Alabama,2020-04-13,3870,99,203.0,6.0
Alabama,2020-04-14,4041,114,171.0,15.0
Alabama,2020-04-15,4307,118,266.0,4.0
Alabama,2020-04-16,4465,133,158.0,15.0
Alabama,2020-04-17,4557,148,92.0,15.0
Alabama,2020-04-18,4788,153,231.0,5.0
Alabama,2020-04-19,4978,157,190.0,4.0
Alabama,2020-04-20,5163,163,185.0,6.0
Alabama,2020-04-21,5404,183,241.0,20.0
Alabama,2020-04-22,5692,196,288.0,13.0
Alabama,2020-04-23,5899,202,207.0,6.0
Alabama,2020-04-24,6092,209,193.0,7.0
Alabama,2020-04-25,6274,209,182.0,0.0
Alabama,2020-04-26,6475,219,201.0,10.0
Alabama,2020-04-27,6621,228,146.0,9.0
Alabama,2020-04-28,6820,242,199.0,14.0
Alabama,2020-04-29,6979,256,159.0,14.0
Alabama,2020-04-30,7187,272,208.0,16.0
Alabama,2020-05-01,7440,289,253.0,17.0
Alabama,2020-05-02,7700,288,260.0,-1.0
Alabama,2020-05-03,7977,290,277.0,2.0
Alabama,2020-05-04,8203,298,226.0,8.0
Alabama,2020-05-05,8520,315,317.0,17.0
Alabama,2020-05-06,8769,343,249.0,28.0
Alabama,2020-05-07,9115,369,346.0,26.0
Alabama,2020-05-08,9437,383,322.0,14.0
Alabama,2020-05-09,9720,390,283.0,7.0
Alabama,2020-05-10,9982,393,262.0,3.0
Alabama,2020-05-11,10262,403,280.0,10.0
Alabama,2020-05-12,10566,435,304.0,32.0
Alabama,2020-05-13,10822,450,256.0,15.0
Alabama,2020-05-14,11161,473,339.0,23.0
Alabama,2020-05-15,11494,483,333.0,10.0
Alabama,2020-05-16,11828,485,334.0,2.0
Alabama,2020-05-17,12137,488,309.0,3.0
Alabama,2020-05-18,12438,489,301.0,1.0
Alabama,2020-05-19,12825,504,387.0,15.0
Alabama,2020-05-20,13186,522,361.0,18.0
Alabama,2020-05-21,13590,529,404.0,7.0
Alabama,2020-05-22,13954,541,364.0,12.0
Alabama,2020-05-23,14328,549,374.0,8.0
Alabama,2020-05-24,14676,551,348.0,2.0
Alabama,2020-05-25,15309,566,633.0,15.0
Alabama,2020-05-26,15899,580,590.0,14.0
Alabama,2020-05-27,16263,583,364.0,3.0
Alabama,2020-05-28,16749,591,486.0,8.0
Alabama,2020-05-29,17262,610,513.0,19.0
Alabama,2020-05-30,17689,618,427.0,8.0
Alabama,2020-05-31,18200,630,511.0,12.0
Alabama,2020-06-01,18525,646,325.0,16.0
Alabama,2020-06-02,18734,653,209.0,7.0
Alabama,2020-06-03,18954,653,220.0,0.0
Alabama,2020-06-04,19262,653,308.0,0.0
Alabama,2020-06-05,19910,676,648.0,23.0
Alabama,2020-06-06,20355,689,445.0,13.0
Alabama,2020-06-07,20777,692,422.0,3.0
Alabama,2020-06-08,21268,718,491.0,26.0
Alabama,2020-06-09,21834,729,566.0,11.0
Alabama,2020-06-10,22659,744,825.0,15.0
Alabama,2020-06-11,23370,755,711.0,11.0
Alabama,2020-06-12,24405,769,1035.0,14.0
Alabama,2020-06-13,25364,773,959.0,4.0
Alabama,2020-06-14,26182,773,818.0,0.0
Alabama,2020-06-15,26485,774,303.0,1.0
Alabama,2020-06-16,27034,785,549.0,11.0
Alabama,2020-06-17,27941,790,907.0,5.0
Alabama,2020-06-18,28676,810,735.0,20.0
Alabama,2020-06-19,29225,822,549.0,12.0
Alabama,2020-06-20,29683,838,458.0,16.0
Alabama,2020-06-21,30122,839,439.0,1.0
Alabama,2020-06-22,30771,841,649.0,2.0
Alabama,2020-06-23,31889,864,1118.0,23.0
Alabama,2020-06-24,32878,891,989.0,27.0
Alabama,2020-06-25,33880,896,1002.0,5.0
Alabama,2020-06-26,34903,907,1023.0,11.0
Alabama,2020-06-27,35083,919,180.0,12.0
Alabama,2020-06-28,36503,919,1420.0,0.0
Alabama,2020-06-29,37589,929,1086.0,10.0
Alabama,2020-06-30,38477,950,888.0,21.0
Alabama,2020-07-01,39647,972,1170.0,22.0
Alabama,2020-07-02,41340,985,1693.0,13.0
Alabama,2020-07-03,42255,1006,915.0,21.0
Alabama,2020-07-04,43216,1007,961.0,1.0
Alabama,2020-07-05,44022,1007,806.0,0.0
Alabama,2020-07-06,44932,1007,910.0,0.0
Alabama,2020-07-07,46348,1033,1416.0,26.0
Alabama,2020-07-08,48149,1058,1801.0,25.0
Alabama,2020-07-09,49695,1068,1546.0,10.0
Alabama,2020-07-10,51329,1104,1634.0,36.0
Alabama,2020-07-11,52802,1114,1473.0,10.0
Alabama,2020-07-12,54781,1121,1979.0,7.0
Alabama,2020-07-13,56168,1124,1387.0,3.0
Alabama,2020-07-14,58284,1164,2116.0,40.0
Alabama,2020-07-15,60194,1211,1910.0,47.0
Alabama,2020-07-16,62128,1230,1934.0,19.0
Alabama,2020-07-17,64152,1265,2024.0,35.0
