FIPS,Province_State,Admin2,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
1001.0,Alabama,Autauga,25,2,1.0,0.0
1003.0,Alabama,Baldwin,110,2,4.0,0.0
1005.0,Alabama,Barbour,18,0,3.0,0.0
1007.0,Alabama,Bibb,26,0,3.0,0.0
1009.0,Alabama,Blount,24,0,2.0,0.0
1011.0,Alabama,Bullock,9,0,1.0,0.0
1013.0,Alabama,Butler,14,0,1.0,0.0
1015.0,Alabama,Calhoun,71,2,3.0,0.0
1017.0,Alabama,Chambers,242,11,3.0,0.0
1019.0,Alabama,Cherokee,12,0,1.0,0.0
1021.0,Alabama,Chilton,41,0,2.0,0.0
1023.0,Alabama,Choctaw,16,0,1.0,0.0
1025.0,Alabama,Clarke,21,0,0.0,0.0
1027.0,Alabama,Clay,16,0,2.0,0.0
1029.0,Alabama,Cleburne,12,0,0.0,0.0
1031.0,Alabama,Coffee,59,0,7.0,0.0
1033.0,Alabama,Colbert,19,1,2.0,0.0
1035.0,Alabama,Conecuh,9,0,1.0,0.0
1037.0,Alabama,Coosa,25,1,4.0,0.0
1039.0,Alabama,Covington,25,1,2.0,0.0
1041.0,Alabama,Crenshaw,5,0,0.0,0.0
1043.0,Alabama,Cullman,45,1,1.0,0.0
1045.0,Alabama,Dale,18,0,4.0,0.0
1047.0,Alabama,Dallas,16,2,0.0,0.0
1049.0,Alabama,DeKalb,41,2,5.0,0.0
1051.0,Alabama,Elmore,57,1,4.0,0.0
1053.0,Alabama,Escambia,12,0,0.0,0.0
1055.0,Alabama,Etowah,91,7,5.0,-1.0
1057.0,Alabama,Fayette,6,0,0.0,0.0
1059.0,Alabama,Franklin,20,1,0.0,0.0
1061.0,Alabama,Geneva,4,0,2.0,0.0
1063.0,Alabama,Greene,27,0,5.0,0.0
1065.0,Alabama,Hale,24,1,1.0,1.0
1067.0,Alabama,Henry,18,0,1.0,0.0
1069.0,Alabama,Houston,68,2,2.0,-1.0
1071.0,Alabama,Jackson,36,2,4.0,0.0
1073.0,Alabama,Jefferson,688,25,30.0,1.0
1075.0,Alabama,Lamar,6,0,0.0,0.0
1077.0,Alabama,Lauderdale,22,4,0.0,0.0
1079.0,Alabama,Lawrence,12,0,1.0,0.0
1081.0,Alabama,Lee,311,14,10.0,2.0
1083.0,Alabama,Limestone,40,0,2.0,0.0
1085.0,Alabama,Lowndes,27,0,2.0,0.0
1087.0,Alabama,Macon,23,2,0.0,0.0
1089.0,Alabama,Madison,206,4,0.0,0.0
1091.0,Alabama,Marengo,23,1,0.0,0.0
1093.0,Alabama,Marion,65,5,1.0,1.0
1095.0,Alabama,Marshall,143,4,16.0,0.0
1097.0,Alabama,Mobile,617,25,3.0,1.0
1099.0,Alabama,Monroe,9,1,1.0,0.0
1101.0,Alabama,Montgomery,213,5,13.0,0.0
1103.0,Alabama,Morgan,44,0,0.0,0.0
1105.0,Alabama,Perry,9,0,1.0,0.0
1107.0,Alabama,Pickens,31,0,3.0,0.0
1109.0,Alabama,Pike,33,0,6.0,0.0
1111.0,Alabama,Randolph,54,4,2.0,0.0
1113.0,Alabama,Russell,42,0,6.0,0.0
1117.0,Alabama,Shelby,266,7,11.0,-1.0
1115.0,Alabama,St. Clair,59,0,3.0,0.0
1119.0,Alabama,Sumter,33,0,3.0,0.0
1121.0,Alabama,Talladega,47,1,5.0,0.0
1123.0,Alabama,Tallapoosa,180,11,20.0,2.0
1125.0,Alabama,Tuscaloosa,151,0,9.0,0.0
1127.0,Alabama,Walker,82,0,0.0,0.0
1129.0,Alabama,Washington,15,1,1.0,0.0
1131.0,Alabama,Wilcox,46,0,5.0,0.0
1133.0,Alabama,Winston,9,0,0.0,0.0
2020.0,Alaska,Anchorage,154,4,1.0,0.0
2050.0,Alaska,Bethel,1,0,0.0,0.0
2090.0,Alaska,Fairbanks North Star,80,1,0.0,0.0
2110.0,Alaska,Juneau,24,0,0.0,0.0
2122.0,Alaska,Kenai Peninsula,19,0,2.0,0.0
2130.0,Alaska,Ketchikan Gateway,15,0,0.0,0.0
2150.0,Alaska,Kodiak Island,1,0,0.0,0.0
2170.0,Alaska,Matanuska-Susitna,17,0,2.0,0.0
2180.0,Alaska,Nome,1,0,0.0,0.0
2195.0,Alaska,Petersburg,2,0,0.0,0.0
2198.0,Alaska,Prince of Wales-Hyder,2,0,0.0,0.0
2240.0,Alaska,Southeast Fairbanks,2,0,0.0,0.0
90002.0,Alaska,Unassigned,0,4,0.0,0.0
2290.0,Alaska,Yukon-Koyukuk,1,0,0.0,0.0
4001.0,Arizona,Apache,169,4,28.0,0.0
4003.0,Arizona,Cochise,22,0,2.0,0.0
4005.0,Arizona,Coconino,314,29,10.0,3.0
4007.0,Arizona,Gila,7,0,2.0,0.0
4009.0,Arizona,Graham,2,0,0.0,0.0
4011.0,Arizona,Greenlee,2,0,0.0,0.0
4012.0,Arizona,La Paz,5,1,0.0,1.0
4013.0,Arizona,Maricopa,2491,70,87.0,1.0
4015.0,Arizona,Mohave,52,1,1.0,1.0
4017.0,Arizona,Navajo,452,11,17.0,0.0
4019.0,Arizona,Pima,856,56,37.0,27.0
4021.0,Arizona,Pinal,235,6,23.0,6.0
4023.0,Arizona,Santa Cruz,16,0,2.0,0.0
4025.0,Arizona,Yavapai,72,1,3.0,0.0
4027.0,Arizona,Yuma,29,1,1.0,0.0
5001.0,Arkansas,Arkansas,2,0,0.0,0.0
5003.0,Arkansas,Ashley,11,0,0.0,0.0
5005.0,Arkansas,Baxter,5,0,1.0,0.0
5007.0,Arkansas,Benton,62,0,0.0,0.0
5009.0,Arkansas,Boone,3,0,0.0,0.0
5011.0,Arkansas,Bradley,7,0,0.0,0.0
5015.0,Arkansas,Carroll,2,0,0.0,0.0
5017.0,Arkansas,Chicot,7,0,0.0,0.0
5019.0,Arkansas,Clark,27,0,0.0,0.0
5021.0,Arkansas,Clay,1,0,0.0,0.0
5023.0,Arkansas,Cleburne,70,4,0.0,0.0
5025.0,Arkansas,Cleveland,8,0,0.0,0.0
5027.0,Arkansas,Columbia,4,0,0.0,0.0
5029.0,Arkansas,Conway,5,1,0.0,0.0
5031.0,Arkansas,Craighead,42,1,2.0,0.0
5033.0,Arkansas,Crawford,4,0,0.0,0.0
5035.0,Arkansas,Crittenden,133,4,6.0,0.0
5037.0,Arkansas,Cross,8,0,0.0,0.0
5039.0,Arkansas,Dallas,1,0,0.0,0.0
5041.0,Arkansas,Desha,6,0,0.0,0.0
5043.0,Arkansas,Drew,6,1,0.0,0.0
5045.0,Arkansas,Faulkner,60,2,1.0,0.0
5047.0,Arkansas,Franklin,1,0,0.0,0.0
5051.0,Arkansas,Garland,106,0,-1.0,0.0
5053.0,Arkansas,Grant,11,0,0.0,0.0
5055.0,Arkansas,Greene,9,0,3.0,0.0
5057.0,Arkansas,Hempstead,4,1,0.0,0.0
5059.0,Arkansas,Hot Spring,8,0,0.0,0.0
5061.0,Arkansas,Howard,12,0,0.0,0.0
5063.0,Arkansas,Independence,7,0,0.0,0.0
5065.0,Arkansas,Izard,2,0,0.0,0.0
5067.0,Arkansas,Jackson,1,0,0.0,0.0
5069.0,Arkansas,Jefferson,114,6,1.0,0.0
5071.0,Arkansas,Johnson,21,0,1.0,0.0
5073.0,Arkansas,Lafayette,4,0,-1.0,0.0
5075.0,Arkansas,Lawrence,25,1,1.0,0.0
5077.0,Arkansas,Lee,3,1,0.0,0.0
5079.0,Arkansas,Lincoln,110,0,16.0,0.0
5083.0,Arkansas,Logan,3,0,1.0,0.0
5085.0,Arkansas,Lonoke,30,0,0.0,0.0
5087.0,Arkansas,Madison,1,0,0.0,0.0
5089.0,Arkansas,Marion,1,0,0.0,0.0
5091.0,Arkansas,Miller,29,0,0.0,0.0
5093.0,Arkansas,Mississippi,8,0,0.0,0.0
5095.0,Arkansas,Monroe,2,0,0.0,0.0
5099.0,Arkansas,Nevada,1,0,0.0,0.0
5101.0,Arkansas,Newton,2,0,0.0,0.0
5103.0,Arkansas,Ouachita,5,0,0.0,0.0
5105.0,Arkansas,Perry,3,0,0.0,0.0
5107.0,Arkansas,Phillips,4,1,0.0,0.0
5109.0,Arkansas,Pike,2,0,0.0,0.0
5111.0,Arkansas,Poinsett,10,0,0.0,0.0
5113.0,Arkansas,Polk,7,0,0.0,0.0
5115.0,Arkansas,Pope,35,0,2.0,0.0
5117.0,Arkansas,Prairie,2,0,0.0,0.0
5119.0,Arkansas,Pulaski,368,12,8.0,1.0
5121.0,Arkansas,Randolph,11,0,1.0,0.0
5125.0,Arkansas,Saline,41,1,4.0,0.0
5127.0,Arkansas,Scott,1,0,0.0,0.0
5129.0,Arkansas,Searcy,6,0,0.0,0.0
5131.0,Arkansas,Sebastian,11,0,0.0,0.0
5133.0,Arkansas,Sevier,8,0,0.0,0.0
5135.0,Arkansas,Sharp,2,0,0.0,0.0
5123.0,Arkansas,St. Francis,64,0,1.0,0.0
5137.0,Arkansas,Stone,7,0,0.0,0.0
90005.0,Arkansas,Unassigned,42,0,-1.0,0.0
5139.0,Arkansas,Union,23,0,3.0,0.0
5141.0,Arkansas,Van Buren,26,2,0.0,0.0
5143.0,Arkansas,Washington,45,0,0.0,0.0
5145.0,Arkansas,White,29,0,0.0,0.0
5147.0,Arkansas,Woodruff,1,0,0.0,0.0
5149.0,Arkansas,Yell,2,0,0.0,0.0
6001.0,California,Alameda,1114,41,51.0,1.0
6003.0,California,Alpine,2,0,0.0,0.0
6005.0,California,Amador,7,0,0.0,0.0
6007.0,California,Butte,16,0,0.0,0.0
6009.0,California,Calaveras,12,0,1.0,0.0
6011.0,California,Colusa,3,0,0.0,0.0
6013.0,California,Contra Costa,685,19,37.0,0.0
6015.0,California,Del Norte,2,0,0.0,0.0
6017.0,California,El Dorado,36,0,0.0,0.0
6019.0,California,Fresno,311,7,16.0,0.0
6021.0,California,Glenn,4,0,0.0,0.0
6023.0,California,Humboldt,52,0,0.0,0.0
6025.0,California,Imperial,155,3,12.0,0.0
6027.0,California,Inyo,18,0,1.0,0.0
6029.0,California,Kern,610,3,32.0,0.0
6031.0,California,Kings,20,1,2.0,0.0
6033.0,California,Lake,6,0,0.0,0.0
