Province_State,Confirmed,Deaths,Daily_Confirmed,Daily_Deaths
Alabama,52802,1114,1473.0,10.0
Alaska,1668,17,77.0,0.0
American Samoa,0,0,0.0,0.0
Arizona,119930,2151,3038.0,69.0
Arkansas,27864,319,1061.0,6.0
California,318761,7027,7876.0,72.0
Colorado,36591,1725,400.0,1.0
Connecticut,47287,4348,0.0,0.0
Delaware,12743,517,91.0,0.0
Diamond Princess,49,0,0.0,0.0
District of Columbia,10801,568,58.0,0.0
Florida,254511,4197,10360.0,95.0
Georgia,114401,2996,3184.0,31.0
Grand Princess,103,3,0.0,0.0
Guam,312,5,2.0,0.0
Hawaii,1200,19,42.0,0.0
Idaho,10506,102,577.0,1.0
Illinois,154094,7369,1195.0,24.0
Indiana,51079,2756,779.0,8.0
Iowa,34658,748,486.0,5.0
Kansas,18687,295,384.0,2.0
Kentucky,19121,622,449.0,2.0
Louisiana,76803,3403,2167.0,23.0
Maine,3520,112,21.0,1.0
Maryland,72467,3310,557.0,7.0
Massachusetts,106573,8310,126.0,14.0
Michigan,76370,6313,685.0,28.0
Minnesota,41571,1537,804.0,4.0
Mississippi,35419,1230,797.0,15.0
Missouri,27606,1091,537.0,7.0
Montana,1677,29,84.0,1.0
Nebraska,20998,285,221.0,-1.0
Nevada,26838,592,930.0,13.0
New Hampshire,6024,391,33.0,1.0
New Jersey,174959,15525,331.0,46.0
New Mexico,14773,543,224.0,4.0
New York,403877,32380,878.0,11.0
North Carolina,86492,1513,1999.0,16.0
North Dakota,4243,87,88.0,2.0
Northern Mariana Islands,33,2,2.0,0.0
Ohio,64214,3036,1358.0,4.0
Oklahoma,19779,421,687.0,5.0
Oregon,11851,232,397.0,0.0
Pennsylvania,99216,6897,734.0,17.0
Puerto Rico,2435,167,84.0,8.0
Rhode Island,17312,987,0.0,7.0
South Carolina,54699,951,2280.0,22.0
South Dakota,7454,109,53.0,2.0
Tennessee,61006,738,1460.0,15.0
Texas,254493,3746,8476.0,93.0
Utah,28855,212,632.0,5.0
Vermont,1283,56,6.0,0.0
Virgin Islands,167,6,14.0,0.0
Virginia,69782,1962,851.0,4.0
Washington,40672,1400,866.0,7.0
West Virginia,4146,96,163.0,1.0
Wisconsin,35679,847,926.0,2.0
Wyoming,1839,21,49.0,0.0
